reaction,value
UDPGALPpp,h2o_p + udpgal_p --> gal1p_p + 2 h_p + ump_p
INDOLEt2rpp,indole_p + h_p <=> indole_c + h_c
LEUTRS,atp_c + trnaleu_c + leu__L_c --> amp_c + leutrna_c + ppi_c
GLUR,glu__D_c <=> glu__L_c
4HOXPACDtex,4hoxpacd_e <=> 4hoxpacd_p
GLUN,h2o_c + gln__L_c --> glu__L_c + nh4_c
NH4tex,nh4_e <=> nh4_p
UACGAMtex,uacgam_e <=> uacgam_p
AGt3,ag_c + h_e --> h_c + ag_e
AGMHE,adphep__DD_c --> adphep__LD_c
EX_dad__2_e,dad__2_e --> 
AP4AS,2 atp_c + h_c --> ap4a_c + ppi_c
MALTptspp,malt_p + pep_c --> malt6p_c + pyr_c
EX_o2s_e,o2s_e --> 
EX_arg__L_e,arg__L_e --> 
CYSabcpp,h2o_c + cys__L_p + atp_c --> h_c + pi_c + cys__L_c + adp_c
3OAR181,nadph_c + 3ocvac11eACP_c + h_c --> nadp_c + 3hcvac11eACP_c
AP4AH,ap4a_c + h2o_c --> 2 adp_c + 2 h_c
GLYCLTt2rpp,h_p + glyclt_p <=> glyclt_c + h_c
PYROX,ura_c + nadh_c + h_c + o2_c --> uracp_c + nad_c
PIuabcpp,h2o_c + atp_c + pi_p --> h_c + 2 pi_c + adp_c
NO3R1bpp,no3_p + q8h2_c --> q8_c + no2_p + h2o_p
ETHAt2pp,h_p + etha_p --> h_c + etha_c
SHKK,skm_c + atp_c --> skm5p_c + adp_c + h_c
URDGLYCD,nad_c + urdglyc_c --> h_c + nadh_c + oxur_c
PAPA140pp,h2o_p + pa140_p --> 12dgr140_p + pi_p
EX_asn__L_e,asn__L_e --> 
3OAS160,malACP_c + myrsACP_c + h_c --> co2_c + ACP_c + 3opalmACP_c
ETHAAL,etha_c --> acald_c + nh4_c
EX_lyx__L_e,lyx__L_e --> 
LALGP,h2o_c + LalaLglu_c --> glu__L_c + ala__L_c
ECAP2pp,unagamuf_p + eca2und_p --> udcpdp_p + eca3und_p + h_p
EX_ade_e,ade_e --> 
NMNPtpp,nmn_p --> nmn_c
Ktex,k_e <=> k_p
DHAPT,pep_c + dha_c --> pyr_c + dhap_c
EX_pppn_e,pppn_e --> 
ABUTt2pp,h_p + 4abut_p --> 4abut_c + h_c
FEENTERexs,fe3_e + enter_e --> feenter_e
FE3abcpp,h2o_c + fe3_p + atp_c --> h_c + fe3_c + pi_c + adp_c
XAND,nad_c + xan_c + h2o_c --> nadh_c + urate_c + h_c
G6PP,g6p_c + h2o_c --> glc__D_c + pi_c
AGPR,nadp_c + acg5sa_c + pi_c <=> acg5p_c + h_c + nadph_c
BUTt2rpp,h_p + but_p <=> but_c + h_c
PSD160,h_c + ps160_c --> co2_c + pe160_c
CYSDtex,cys__D_e <=> cys__D_p
ALAR,ala__L_c <=> ala__D_c
MINCYCtpp,mincyc_p + h_p --> h_c + mincyc_e
CRNt2rpp,h_p + crn_p <=> crn_c + h_c
MALDtex,mal__D_e <=> mal__D_p
URIt2pp,h_p + uri_p --> h_c + uri_c
GLUDC,glu__L_c + h_c --> co2_c + 4abut_c
CYANST,tsul_c + cyan_c --> so3_c + tcynt_c + h_c
F6PP,f6p_c + h2o_c --> fru_c + pi_c
GLUDy,nadp_c + glu__L_c + h2o_c <=> akg_c + h_c + nh4_c + nadph_c
EX_gam6p_e,gam6p_e --> 
PGP181abcpp,h2o_c + pgp181_c + atp_c --> h_c + pi_c + adp_c + pgp181_p
FLDR2,nadph_c + 2 flxso_c --> nadp_c + h_c + 2 flxr_c
PLIPA2A140pp,pa140_p + h2o_p --> 1tdecg3p_p + h_p + ttdca_p
F6PA,f6p_c <=> dha_c + g3p_c
FRUtex,fru_e <=> fru_p
NO2t2rpp,h_p + no2_p <=> no2_c + h_c
UM3PL,LalaDgluMdap_c + atp_c + uamr_c --> h_c + ugmd_c + pi_c + adp_c
MI1PP,mi1p__D_c + h2o_c --> inost_c + pi_c
26DAHtex,26dap__M_e <=> 26dap__M_p
PHEtex,phe__L_e <=> phe__L_p
ACGAMT,udcpp_c + uacgam_c --> ump_c + unaga_c
EX_thrp_e,thrp_e --> 
FUMtex,fum_e <=> fum_p
PPPNDO,nadh_c + h_c + o2_c + pppn_c --> nad_c + cechddd_c
ACACT7r,accoa_c + tdcoa_c <=> 3ohdcoa_c + coa_c
NTP5,h2o_c + ctp_c --> cdp_c + pi_c + h_c
PLIPA2A181pp,h2o_p + pa181_p --> 1odec11eg3p_p + h_p + ocdcea_p
ACGAMK,acgam_c + atp_c --> adp_c + h_c + acgam6p_c
MALTTTRtexi,maltttr_e --> maltttr_p
G3PSabcpp,h2o_c + g3ps_p + atp_c --> h_c + pi_c + g3ps_c + adp_c
N2Otex,n2o_e <=> n2o_p
DHCINDO,o2_c + dhcinnm_c --> hkntd_c + h_c
R15BPK,atp_c + r15bp_c --> prpp_c + adp_c
CINNDO,h_c + nadh_c + cinnm_c + o2_c --> nad_c + cenchddd_c
HETZK,4mhetz_c + atp_c --> adp_c + h_c + 4mpetz_c
K2L4Aabctex,h2o_c + atp_c + kdo2lipid4_p --> kdo2lipid4_e + pi_c + adp_c + h_c
EX_fecrm__un_e,fecrm__un_e --> 
MOAT,ckdo_c + lipidA_c --> h_c + cmp_c + kdolipid4_c
TDPGDH,dtdpglu_c --> dtdp4d6dg_c + h2o_c
EX_3hpppn_e,3hpppn_e --> 
PGSA141,cdpdtdec7eg_c + glyc3p_c --> pgp141_c + h_c + cmp_c
PGSA140,glyc3p_c + cdpdtdecg_c --> h_c + pgp140_c + cmp_c
EX_xylu__L_e,xylu__L_e --> 
CPPPGO,2 h_c + cpppg3_c + o2_c --> 2 h2o_c + 2 co2_c + pppg9_c
PE141abcpp,h2o_c + pe141_c + atp_c --> h_c + pi_c + pe141_p + adp_c
H2Stex,h2s_e <=> h2s_p
NODOx,nadh_c + 2 o2_c + 2 no_c --> nad_c + h_c + 2 no3_c
NNAM,ncam_c + h2o_c --> nac_c + nh4_c
CYTBD2pp,2 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2 h_p + mqn8_c
ASAD,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c
3HAD140,3hmrsACP_c --> h2o_c + tmrs2eACP_c
3HAD141,3hcmrs7eACP_c --> t3c7mrseACP_c + h2o_c
HPYRRy,nadph_c + hpyr_c + h_c --> glyc__R_c + nadp_c
HPYRRx,hpyr_c + h_c + nadh_c --> nad_c + glyc__R_c
CLPNS120pp,2 pg120_p <=> glyc_p + clpn120_p
ADMDC,h_c + amet_c --> ametam_c + co2_c
OAADC,oaa_c + h_c --> co2_c + pyr_c
PAPA180pp,pa180_p + h2o_p --> 12dgr180_p + pi_p
IDOND,5dglcn_c + nadh_c + h_c <=> idon__L_c + nad_c
UDPGD,h2o_c + udpg_c + 2 nad_c --> 3 h_c + 2 nadh_c + udpglcur_c
SULabcpp,h2o_c + atp_c + so4_p --> h_c + so4_c + pi_c + adp_c
CMPtex,cmp_e <=> cmp_p
EX_cl_e,cl_e <=> 
FECRMUtpp,fecrm__un_c + h_p --> fecrm__un_p + h_c
DDGLCNtex,2ddglcn_e <=> 2ddglcn_p
EX_lys__L_e,lys__L_e --> 
MTAN,5mta_c + h2o_c --> ade_c + 5mtr_c
MOBDabcpp,mobd_p + h2o_c + atp_c --> h_c + mobd_c + pi_c + adp_c
H2SO,h2s_c + 2 o2_c --> 2 h_c + so4_c
EX_ppt_e,ppt_e --> 
PROt2rpp,h_p + pro__L_p <=> h_c + pro__L_c
MLDEP2pp,murein5px3p_p + h2o_p --> murein5p3p_p
FESR,3fe4s_c + fe2_c --> 4fe4s_c
EX_butso3_e,butso3_e --> 
TTDCAtexi,ttdca_e --> ttdca_p
ILETRS,trnaile_c + atp_c + ile__L_c --> amp_c + iletrna_c + ppi_c
AAMYL,14glucan_c --> malthx_c
QUINDH,nad_c + quin_c <=> 2 h_c + 3dhq_c + nadh_c
EX_hdca_e,hdca_e --> 
COBALT2tex,cobalt2_e <=> cobalt2_p
GF6PTA,f6p_c + gln__L_c --> glu__L_c + gam6p_c
NO3t7pp,no3_p + no2_c --> no2_p + no3_c
CHLtex,chol_e <=> chol_p
MDDCP3pp,murein5p5p_p + h2o_p --> ala__D_p + murein5p4p_p
CDPMEK,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
CU1abcpp,h2o_c + atp_c + cu_c --> h_c + pi_c + cu_p + adp_c
LCTSt3ipp,h_p + lcts_c --> lcts_p + h_c
SELR,sel_c + mql8_c --> mqn8_c + h2o_c + slnt_c
PLIPA1G180pp,pg180_p + h2o_p --> 2agpg180_p + h_p + ocdca_p
